a,b,px,py,I,xunit,yunit,xn,yn,x,y,U
4,1,4,3,36,1,1,13,13,9.0,0.0,36.0
4,2,4,3,36,1,1,13,13,9.0,0.0,36.0
4,4,4,3,36,1,1,13,13,0.0,12.0,48.0
4,5,4,3,36,1,1,13,13,0.0,12.0,60.0
5,1,4,3,36,1,1,13,13,9.0,0.0,45.0
5,2,4,3,36,1,1,13,13,9.0,0.0,45.0
5,3,4,3,36,1,1,13,13,9.0,0.0,45.0
5,4,4,3,36,1,1,13,13,0.0,12.0,48.0
5,5,4,3,36,1,1,13,13,0.0,12.0,60.0
1,2,4,4,24,1,1,13,13,0.0,6.0,12.0
1,3,4,4,24,1,1,13,13,0.0,6.0,18.0
1,4,4,4,24,1,1,13,13,0.0,6.0,24.0
1,5,4,4,24,1,1,13,13,0.0,6.0,30.0
2,1,4,4,24,1,1,13,13,6.0,0.0,12.0
2,3,4,4,24,1,1,13,13,0.0,6.0,18.0
2,4,4,4,24,1,1,13,13,0.0,6.0,24.0
2,5,4,4,24,1,1,13,13,0.0,6.0,30.0
3,1,4,4,24,1,1,13,13,6.0,0.0,18.0
3,2,4,4,24,1,1,13,13,6.0,0.0,18.0
3,4,4,4,24,1,1,13,13,0.0,6.0,24.0
3,5,4,4,24,1,1,13,13,0.0,6.0,30.0
4,1,4,4,24,1,1,13,13,6.0,0.0,24.0
4,2,4,4,24,1,1,13,13,6.0,0.0,24.0
4,3,4,4,24,1,1,13,13,6.0,0.0,24.0
4,5,4,4,24,1,1,13,13,0.0,6.0,30.0
5,1,4,4,24,1,1,13,13,6.0,0.0,30.0
5,2,4,4,24,1,1,13,13,6.0,0.0,30.0
5,3,4,4,24,1,1,13,13,6.0,0.0,30.0
5,4,4,4,24,1,1,13,13,6.0,0.0,30.0
1,2,4,4,28,1,1,13,13,0.0,7.0,14.0
1,3,4,4,28,1,1,13,13,0.0,7.0,21.0
1,4,4,4,28,1,1,13,13,0.0,7.0,28.0
1,5,4,4,28,1,1,13,13,0.0,7.0,35.0
2,1,4,4,28,1,1,13,13,7.0,0.0,14.0
2,3,4,4,28,1,1,13,13,0.0,7.0,21.0
2,4,4,4,28,1,1,13,13,0.0,7.0,28.0
2,5,4,4,28,1,1,13,13,0.0,7.0,35.0
3,1,4,4,28,1,1,13,13,7.0,0.0,21.0
3,2,4,4,28,1,1,13,13,7.0,0.0,21.0
3,4,4,4,28,1,1,13,13,0.0,7.0,28.0
3,5,4,4,28,1,1,13,13,0.0,7.0,35.0
4,1,4,4,28,1,1,13,13,7.0,0.0,28.0
4,2,4,4,28,1,1,13,13,7.0,0.0,28.0
4,3,4,4,28,1,1,13,13,7.0,0.0,28.0
4,5,4,4,28,1,1,13,13,0.0,7.0,35.0
5,1,4,4,28,1,1,13,13,7.0,0.0,35.0
5,2,4,4,28,1,1,13,13,7.0,0.0,35.0
5,3,4,4,28,1,1,13,13,7.0,0.0,35.0
5,4,4,4,28,1,1,13,13,7.0,0.0,35.0
1,2,4,4,32,1,1,13,13,0.0,8.0,16.0
1,3,4,4,32,1,1,13,13,0.0,8.0,24.0
1,4,4,4,32,1,1,13,13,0.0,8.0,32.0
1,5,4,4,32,1,1,13,13,0.0,8.0,40.0
2,1,4,4,32,1,1,13,13,8.0,0.0,16.0
2,3,4,4,32,1,1,13,13,0.0,8.0,24.0
2,4,4,4,32,1,1,13,13,0.0,8.0,32.0
2,5,4,4,32,1,1,13,13,0.0,8.0,40.0
3,1,4,4,32,1,1,13,13,8.0,0.0,24.0
3,2,4,4,32,1,1,13,13,8.0,0.0,24.0
3,4,4,4,32,1,1,13,13,0.0,8.0,32.0
3,5,4,4,32,1,1,13,13,0.0,8.0,40.0
4,1,4,4,32,1,1,13,13,8.0,0.0,32.0
4,2,4,4,32,1,1,13,13,8.0,0.0,32.0
4,3,4,4,32,1,1,13,13,8.0,0.0,32.0
4,5,4,4,32,1,1,13,13,0.0,8.0,40.0
5,1,4,4,32,1,1,13,13,8.0,0.0,40.0
5,2,4,4,32,1,1,13,13,8.0,0.0,40.0
5,3,4,4,32,1,1,13,13,8.0,0.0,40.0
5,4,4,4,32,1,1,13,13,8.0,0.0,40.0
1,2,4,4,36,1,1,13,13,0.0,9.0,18.0
1,3,4,4,36,1,1,13,13,0.0,9.0,27.0
1,4,4,4,36,1,1,13,13,0.0,9.0,36.0
1,5,4,4,36,1,1,13,13,0.0,9.0,45.0
2,1,4,4,36,1,1,13,13,9.0,0.0,18.0
2,3,4,4,36,1,1,13,13,0.0,9.0,27.0
2,4,4,4,36,1,1,13,13,0.0,9.0,36.0
2,5,4,4,36,1,1,13,13,0.0,9.0,45.0
3,1,4,4,36,1,1,13,13,9.0,0.0,27.0
3,2,4,4,36,1,1,13,13,9.0,0.0,27.0
3,4,4,4,36,1,1,13,13,0.0,9.0,36.0
3,5,4,4,36,1,1,13,13,0.0,9.0,45.0
4,1,4,4,36,1,1,13,13,9.0,0.0,36.0
4,2,4,4,36,1,1,13,13,9.0,0.0,36.0
4,3,4,4,36,1,1,13,13,9.0,0.0,36.0
4,5,4,4,36,1,1,13,13,0.0,9.0,45.0
5,1,4,4,36,1,1,13,13,9.0,0.0,45.0
5,2,4,4,36,1,1,13,13,9.0,0.0,45.0
5,3,4,4,36,1,1,13,13,9.0,0.0,45.0
5,4,4,4,36,1,1,13,13,9.0,0.0,45.0
1,2,4,4,40,1,1,13,13,0.0,10.0,20.0
1,3,4,4,40,1,1,13,13,0.0,10.0,30.0
1,4,4,4,40,1,1,13,13,0.0,10.0,40.0
1,5,4,4,40,1,1,13,13,0.0,10.0,50.0
2,1,4,4,40,1,1,13,13,10.0,0.0,20.0
2,3,4,4,40,1,1,13,13,0.0,10.0,30.0
2,4,4,4,40,1,1,13,13,0.0,10.0,40.0
2,5,4,4,40,1,1,13,13,0.0,10.0,50.0
3,1,4,4,40,1,1,13,13,10.0,0.0,30.0
3,2,4,4,40,1,1,13,13,10.0,0.0,30.0
3,4,4,4,40,1,1,13,13,0.0,10.0,40.0
3,5,4,4,40,1,1,13,13,0.0,10.0,50.0
4,1,4,4,40,1,1,13,13,10.0,0.0,40.0
4,2,4,4,40,1,1,13,13,10.0,0.0,40.0
4,3,4,4,40,1,1,13,13,10.0,0.0,40.0
4,5,4,4,40,1,1,13,13,0.0,10.0,50.0
5,1,4,4,40,1,1,13,13,10.0,0.0,50.0
5,2,4,4,40,1,1,13,13,10.0,0.0,50.0
5,3,4,4,40,1,1,13,13,10.0,0.0,50.0
5,4,4,4,40,1,1,13,13,10.0,0.0,50.0
1,2,4,4,44,1,1,13,13,0.0,11.0,22.0
1,3,4,4,44,1,1,13,13,0.0,11.0,33.0
1,4,4,4,44,1,1,13,13,0.0,11.0,44.0
1,5,4,4,44,1,1,13,13,0.0,11.0,55.0
2,1,4,4,44,1,1,13,13,11.0,0.0,22.0
2,3,4,4,44,1,1,13,13,0.0,11.0,33.0
2,4,4,4,44,1,1,13,13,0.0,11.0,44.0
2,5,4,4,44,1,1,13,13,0.0,11.0,55.0
3,1,4,4,44,1,1,13,13,11.0,0.0,33.0
3,2,4,4,44,1,1,13,13,11.0,0.0,33.0
3,4,4,4,44,1,1,13,13,0.0,11.0,44.0
3,5,4,4,44,1,1,13,13,0.0,11.0,55.0
4,1,4,4,44,1,1,13,13,11.0,0.0,44.0
4,2,4,4,44,1,1,13,13,11.0,0.0,44.0
4,3,4,4,44,1,1,13,13,11.0,0.0,44.0
4,5,4,4,44,1,1,13,13,0.0,11.0,55.0
5,1,4,4,44,1,1,13,13,11.0,0.0,55.0
5,2,4,4,44,1,1,13,13,11.0,0.0,55.0
5,3,4,4,44,1,1,13,13,11.0,0.0,55.0
5,4,4,4,44,1,1,13,13,11.0,0.0,55.0
1,2,4,4,48,1,1,13,13,0.0,12.0,24.0
1,3,4,4,48,1,1,13,13,0.0,12.0,36.0
1,4,4,4,48,1,1,13,13,0.0,12.0,48.0
1,5,4,4,48,1,1,13,13,0.0,12.0,60.0
2,1,4,4,48,1,1,13,13,12.0,0.0,24.0
2,3,4,4,48,1,1,13,13,0.0,12.0,36.0
2,4,4,4,48,1,1,13,13,0.0,12.0,48.0
2,5,4,4,48,1,1,13,13,0.0,12.0,60.0
3,1,4,4,48,1,1,13,13,12.0,0.0,36.0
3,2,4,4,48,1,1,13,13,12.0,0.0,36.0
3,4,4,4,48,1,1,13,13,0.0,12.0,48.0
3,5,4,4,48,1,1,13,13,0.0,12.0,60.0
4,1,4,4,48,1,1,13,13,12.0,0.0,48.0
4,2,4,4,48,1,1,13,13,12.0,0.0,48.0
4,3,4,4,48,1,1,13,13,12.0,0.0,48.0
4,5,4,4,48,1,1,13,13,0.0,12.0,60.0
5,1,4,4,48,1,1,13,13,12.0,0.0,60.0
5,2,4,4,48,1,1,13,13,12.0,0.0,60.0
5,3,4,4,48,1,1,13,13,12.0,0.0,60.0
5,4,4,4,48,1,1,13,13,12.0,0.0,60.0
1,1,4,5,40,1,1,13,13,10.0,0.0,10.0
1,2,4,5,40,1,1,13,13,0.0,8.0,16.0
1,3,4,5,40,1,1,13,13,0.0,8.0,24.0
1,4,4,5,40,1,1,13,13,0.0,8.0,32.0
1,5,4,5,40,1,1,13,13,0.0,8.0,40.0
2,1,4,5,40,1,1,13,13,10.0,0.0,20.0
2,2,4,5,40,1,1,13,13,10.0,0.0,20.0
2,3,4,5,40,1,1,13,13,0.0,8.0,24.0
2,4,4,5,40,1,1,13,13,0.0,8.0,32.0
2,5,4,5,40,1,1,13,13,0.0,8.0,40.0
3,1,4,5,40,1,1,13,13,10.0,0.0,30.0
3,2,4,5,40,1,1,13,13,10.0,0.0,30.0
3,3,4,5,40,1,1,13,13,10.0,0.0,30.0
3,4,4,5,40,1,1,13,13,0.0,8.0,32.0
3,5,4,5,40,1,1,13,13,0.0,8.0,40.0
4,1,4,5,40,1,1,13,13,10.0,0.0,40.0
4,2,4,5,40,1,1,13,13,10.0,0.0,40.0
4,3,4,5,40,1,1,13,13,10.0,0.0,40.0
4,4,4,5,40,1,1,13,13,10.0,0.0,40.0
5,1,4,5,40,1,1,13,13,10.0,0.0,50.0
5,2,4,5,40,1,1,13,13,10.0,0.0,50.0
5,3,4,5,40,1,1,13,13,10.0,0.0,50.0
5,4,4,5,40,1,1,13,13,10.0,0.0,50.0
5,5,4,5,40,1,1,13,13,10.0,0.0,50.0
1,1,5,1,10,1,1,13,13,0.0,10.0,10.0
1,2,5,1,10,1,1,13,13,0.0,10.0,20.0
1,3,5,1,10,1,1,13,13,0.0,10.0,30.0
1,4,5,1,10,1,1,13,13,0.0,10.0,40.0
1,5,5,1,10,1,1,13,13,0.0,10.0,50.0
2,1,5,1,10,1,1,13,13,0.0,10.0,10.0
2,2,5,1,10,1,1,13,13,0.0,10.0,20.0
2,3,5,1,10,1,1,13,13,0.0,10.0,30.0
2,4,5,1,10,1,1,13,13,0.0,10.0,40.0
2,5,5,1,10,1,1,13,13,0.0,10.0,50.0
3,1,5,1,10,1,1,13,13,0.0,10.0,10.0
3,2,5,1,10,1,1,13,13,0.0,10.0,20.0
3,3,5,1,10,1,1,13,13,0.0,10.0,30.0
3,4,5,1,10,1,1,13,13,0.0,10.0,40.0
3,5,5,1,10,1,1,13,13,0.0,10.0,50.0
4,1,5,1,10,1,1,13,13,0.0,10.0,10.0
4,2,5,1,10,1,1,13,13,0.0,10.0,20.0
4,3,5,1,10,1,1,13,13,0.0,10.0,30.0
4,4,5,1,10,1,1,13,13,0.0,10.0,40.0
4,5,5,1,10,1,1,13,13,0.0,10.0,50.0
5,2,5,1,10,1,1,13,13,0.0,10.0,20.0
5,3,5,1,10,1,1,13,13,0.0,10.0,30.0
5,4,5,1,10,1,1,13,13,0.0,10.0,40.0
5,5,5,1,10,1,1,13,13,0.0,10.0,50.0
1,1,5,2,20,1,1,13,13,0.0,10.0,10.0
1,2,5,2,20,1,1,13,13,0.0,10.0,20.0
1,3,5,2,20,1,1,13,13,0.0,10.0,30.0
1,4,5,2,20,1,1,13,13,0.0,10.0,40.0
1,5,5,2,20,1,1,13,13,0.0,10.0,50.0
2,1,5,2,20,1,1,13,13,0.0,10.0,10.0
2,2,5,2,20,1,1,13,13,0.0,10.0,20.0
2,3,5,2,20,1,1,13,13,0.0,10.0,30.0
2,4,5,2,20,1,1,13,13,0.0,10.0,40.0
2,5,5,2,20,1,1,13,13,0.0,10.0,50.0
3,1,5,2,20,1,1,13,13,4.0,0.0,12.0
3,2,5,2,20,1,1,13,13,0.0,10.0,20.0
3,3,5,2,20,1,1,13,13,0.0,10.0,30.0
3,4,5,2,20,1,1,13,13,0.0,10.0,40.0
3,5,5,2,20,1,1,13,13,0.0,10.0,50.0
4,1,5,2,20,1,1,13,13,4.0,0.0,16.0
4,2,5,2,20,1,1,13,13,0.0,10.0,20.0
4,3,5,2,20,1,1,13,13,0.0,10.0,30.0
4,4,5,2,20,1,1,13,13,0.0,10.0,40.0
4,5,5,2,20,1,1,13,13,0.0,10.0,50.0
5,1,5,2,20,1,1,13,13,4.0,0.0,20.0
5,3,5,2,20,1,1,13,13,0.0,10.0,30.0
5,4,5,2,20,1,1,13,13,0.0,10.0,40.0
5,5,5,2,20,1,1,13,13,0.0,10.0,50.0
1,1,5,3,30,1,1,13,13,0.0,10.0,10.0
1,2,5,3,30,1,1,13,13,0.0,10.0,20.0
1,3,5,3,30,1,1,13,13,0.0,10.0,30.0
1,4,5,3,30,1,1,13,13,0.0,10.0,40.0
1,5,5,3,30,1,1,13,13,0.0,10.0,50.0
2,1,5,3,30,1,1,13,13,6.0,0.0,12.0
2,2,5,3,30,1,1,13,13,0.0,10.0,20.0
2,3,5,3,30,1,1,13,13,0.0,10.0,30.0
2,4,5,3,30,1,1,13,13,0.0,10.0,40.0
2,5,5,3,30,1,1,13,13,0.0,10.0,50.0
3,1,5,3,30,1,1,13,13,6.0,0.0,18.0
3,2,5,3,30,1,1,13,13,0.0,10.0,20.0
3,3,5,3,30,1,1,13,13,0.0,10.0,30.0
3,4,5,3,30,1,1,13,13,0.0,10.0,40.0
3,5,5,3,30,1,1,13,13,0.0,10.0,50.0
4,1,5,3,30,1,1,13,13,6.0,0.0,24.0
4,2,5,3,30,1,1,13,13,6.0,0.0,24.0
4,3,5,3,30,1,1,13,13,0.0,10.0,30.0
4,4,5,3,30,1,1,13,13,0.0,10.0,40.0
4,5,5,3,30,1,1,13,13,0.0,10.0,50.0
5,1,5,3,30,1,1,13,13,6.0,0.0,30.0
5,2,5,3,30,1,1,13,13,6.0,0.0,30.0
5,4,5,3,30,1,1,13,13,0.0,10.0,40.0
5,5,5,3,30,1,1,13,13,0.0,10.0,50.0
1,1,5,4,40,1,1,13,13,0.0,10.0,10.0
1,2,5,4,40,1,1,13,13,0.0,10.0,20.0
1,3,5,4,40,1,1,13,13,0.0,10.0,30.0
1,4,5,4,40,1,1,13,13,0.0,10.0,40.0
1,5,5,4,40,1,1,13,13,0.0,10.0,50.0
2,1,5,4,40,1,1,13,13,8.0,0.0,16.0
2,2,5,4,40,1,1,13,13,0.0,10.0,20.0
2,3,5,4,40,1,1,13,13,0.0,10.0,30.0
2,4,5,4,40,1,1,13,13,0.0,10.0,40.0
2,5,5,4,40,1,1,13,13,0.0,10.0,50.0
3,1,5,4,40,1,1,13,13,8.0,0.0,24.0
3,2,5,4,40,1,1,13,13,8.0,0.0,24.0
3,3,5,4,40,1,1,13,13,0.0,10.0,30.0
3,4,5,4,40,1,1,13,13,0.0,10.0,40.0
3,5,5,4,40,1,1,13,13,0.0,10.0,50.0
4,1,5,4,40,1,1,13,13,8.0,0.0,32.0
4,2,5,4,40,1,1,13,13,8.0,0.0,32.0
4,3,5,4,40,1,1,13,13,8.0,0.0,32.0
4,4,5,4,40,1,1,13,13,0.0,10.0,40.0
4,5,5,4,40,1,1,13,13,0.0,10.0,50.0
5,1,5,4,40,1,1,13,13,8.0,0.0,40.0
5,2,5,4,40,1,1,13,13,8.0,0.0,40.0
5,3,5,4,40,1,1,13,13,8.0,0.0,40.0
5,5,5,4,40,1,1,13,13,0.0,10.0,50.0
1,2,5,5,30,1,1,13,13,0.0,6.0,12.0
1,3,5,5,30,1,1,13,13,0.0,6.0,18.0
1,4,5,5,30,1,1,13,13,0.0,6.0,24.0
1,5,5,5,30,1,1,13,13,0.0,6.0,30.0
2,1,5,5,30,1,1,13,13,6.0,0.0,12.0
2,3,5,5,30,1,1,13,13,0.0,6.0,18.0
2,4,5,5,30,1,1,13,13,0.0,6.0,24.0
2,5,5,5,30,1,1,13,13,0.0,6.0,30.0
3,1,5,5,30,1,1,13,13,6.0,0.0,18.0
3,2,5,5,30,1,1,13,13,6.0,0.0,18.0
3,4,5,5,30,1,1,13,13,0.0,6.0,24.0
3,5,5,5,30,1,1,13,13,0.0,6.0,30.0
4,1,5,5,30,1,1,13,13,6.0,0.0,24.0
4,2,5,5,30,1,1,13,13,6.0,0.0,24.0
4,3,5,5,30,1,1,13,13,6.0,0.0,24.0
4,5,5,5,30,1,1,13,13,0.0,6.0,30.0
5,1,5,5,30,1,1,13,13,6.0,0.0,30.0
5,2,5,5,30,1,1,13,13,6.0,0.0,30.0
5,3,5,5,30,1,1,13,13,6.0,0.0,30.0
5,4,5,5,30,1,1,13,13,6.0,0.0,30.0
1,2,5,5,35,1,1,13,13,0.0,7.0,14.0
1,3,5,5,35,1,1,13,13,0.0,7.0,21.0
1,4,5,5,35,1,1,13,13,0.0,7.0,28.0
1,5,5,5,35,1,1,13,13,0.0,7.0,35.0
2,1,5,5,35,1,1,13,13,7.0,0.0,14.0
2,3,5,5,35,1,1,13,13,0.0,7.0,21.0
2,4,5,5,35,1,1,13,13,0.0,7.0,28.0
2,5,5,5,35,1,1,13,13,0.0,7.0,35.0
3,1,5,5,35,1,1,13,13,7.0,0.0,21.0
3,2,5,5,35,1,1,13,13,7.0,0.0,21.0
3,4,5,5,35,1,1,13,13,0.0,7.0,28.0
3,5,5,5,35,1,1,13,13,0.0,7.0,35.0
4,1,5,5,35,1,1,13,13,7.0,0.0,28.0
4,2,5,5,35,1,1,13,13,7.0,0.0,28.0
4,3,5,5,35,1,1,13,13,7.0,0.0,28.0
4,5,5,5,35,1,1,13,13,0.0,7.0,35.0
5,1,5,5,35,1,1,13,13,7.0,0.0,35.0
5,2,5,5,35,1,1,13,13,7.0,0.0,35.0
5,3,5,5,35,1,1,13,13,7.0,0.0,35.0
5,4,5,5,35,1,1,13,13,7.0,0.0,35.0
1,2,5,5,40,1,1,13,13,0.0,8.0,16.0
1,3,5,5,40,1,1,13,13,0.0,8.0,24.0
1,4,5,5,40,1,1,13,13,0.0,8.0,32.0
1,5,5,5,40,1,1,13,13,0.0,8.0,40.0
2,1,5,5,40,1,1,13,13,8.0,0.0,16.0
2,3,5,5,40,1,1,13,13,0.0,8.0,24.0
2,4,5,5,40,1,1,13,13,0.0,8.0,32.0
2,5,5,5,40,1,1,13,13,0.0,8.0,40.0
3,1,5,5,40,1,1,13,13,8.0,0.0,24.0
3,2,5,5,40,1,1,13,13,8.0,0.0,24.0
3,4,5,5,40,1,1,13,13,0.0,8.0,32.0
3,5,5,5,40,1,1,13,13,0.0,8.0,40.0
4,1,5,5,40,1,1,13,13,8.0,0.0,32.0
4,2,5,5,40,1,1,13,13,8.0,0.0,32.0
4,3,5,5,40,1,1,13,13,8.0,0.0,32.0
4,5,5,5,40,1,1,13,13,0.0,8.0,40.0
5,1,5,5,40,1,1,13,13,8.0,0.0,40.0
5,2,5,5,40,1,1,13,13,8.0,0.0,40.0
5,3,5,5,40,1,1,13,13,8.0,0.0,40.0
5,4,5,5,40,1,1,13,13,8.0,0.0,40.0
1,2,5,5,45,1,1,13,13,0.0,9.0,18.0
1,3,5,5,45,1,1,13,13,0.0,9.0,27.0
1,4,5,5,45,1,1,13,13,0.0,9.0,36.0
1,5,5,5,45,1,1,13,13,0.0,9.0,45.0
2,1,5,5,45,1,1,13,13,9.0,0.0,18.0
2,3,5,5,45,1,1,13,13,0.0,9.0,27.0
2,4,5,5,45,1,1,13,13,0.0,9.0,36.0
2,5,5,5,45,1,1,13,13,0.0,9.0,45.0
3,1,5,5,45,1,1,13,13,9.0,0.0,27.0
3,2,5,5,45,1,1,13,13,9.0,0.0,27.0
3,4,5,5,45,1,1,13,13,0.0,9.0,36.0
3,5,5,5,45,1,1,13,13,0.0,9.0,45.0
4,1,5,5,45,1,1,13,13,9.0,0.0,36.0
4,2,5,5,45,1,1,13,13,9.0,0.0,36.0
4,3,5,5,45,1,1,13,13,9.0,0.0,36.0
4,5,5,5,45,1,1,13,13,0.0,9.0,45.0
5,1,5,5,45,1,1,13,13,9.0,0.0,45.0
5,2,5,5,45,1,1,13,13,9.0,0.0,45.0
5,3,5,5,45,1,1,13,13,9.0,0.0,45.0
5,4,5,5,45,1,1,13,13,9.0,0.0,45.0
1,2,5,5,50,1,1,13,13,0.0,10.0,20.0
1,3,5,5,50,1,1,13,13,0.0,10.0,30.0
1,4,5,5,50,1,1,13,13,0.0,10.0,40.0
1,5,5,5,50,1,1,13,13,0.0,10.0,50.0
2,1,5,5,50,1,1,13,13,10.0,0.0,20.0
2,3,5,5,50,1,1,13,13,0.0,10.0,30.0
2,4,5,5,50,1,1,13,13,0.0,10.0,40.0
2,5,5,5,50,1,1,13,13,0.0,10.0,50.0
3,1,5,5,50,1,1,13,13,10.0,0.0,30.0
3,2,5,5,50,1,1,13,13,10.0,0.0,30.0
3,4,5,5,50,1,1,13,13,0.0,10.0,40.0
3,5,5,5,50,1,1,13,13,0.0,10.0,50.0
4,1,5,5,50,1,1,13,13,10.0,0.0,40.0
4,2,5,5,50,1,1,13,13,10.0,0.0,40.0
4,3,5,5,50,1,1,13,13,10.0,0.0,40.0
4,5,5,5,50,1,1,13,13,0.0,10.0,50.0
5,1,5,5,50,1,1,13,13,10.0,0.0,50.0
5,2,5,5,50,1,1,13,13,10.0,0.0,50.0
5,3,5,5,50,1,1,13,13,10.0,0.0,50.0
5,4,5,5,50,1,1,13,13,10.0,0.0,50.0
1,2,5,5,55,1,1,13,13,0.0,11.0,22.0
1,3,5,5,55,1,1,13,13,0.0,11.0,33.0
1,4,5,5,55,1,1,13,13,0.0,11.0,44.0
1,5,5,5,55,1,1,13,13,0.0,11.0,55.0
2,1,5,5,55,1,1,13,13,11.0,0.0,22.0
2,3,5,5,55,1,1,13,13,0.0,11.0,33.0
2,4,5,5,55,1,1,13,13,0.0,11.0,44.0
2,5,5,5,55,1,1,13,13,0.0,11.0,55.0
3,1,5,5,55,1,1,13,13,11.0,0.0,33.0
3,2,5,5,55,1,1,13,13,11.0,0.0,33.0
3,4,5,5,55,1,1,13,13,0.0,11.0,44.0
3,5,5,5,55,1,1,13,13,0.0,11.0,55.0
4,1,5,5,55,1,1,13,13,11.0,0.0,44.0
4,2,5,5,55,1,1,13,13,11.0,0.0,44.0
4,3,5,5,55,1,1,13,13,11.0,0.0,44.0
4,5,5,5,55,1,1,13,13,0.0,11.0,55.0
5,1,5,5,55,1,1,13,13,11.0,0.0,55.0
5,2,5,5,55,1,1,13,13,11.0,0.0,55.0
5,3,5,5,55,1,1,13,13,11.0,0.0,55.0
5,4,5,5,55,1,1,13,13,11.0,0.0,55.0
1,2,5,5,60,1,1,13,13,0.0,12.0,24.0
1,3,5,5,60,1,1,13,13,0.0,12.0,36.0
1,4,5,5,60,1,1,13,13,0.0,12.0,48.0
1,5,5,5,60,1,1,13,13,0.0,12.0,60.0
2,1,5,5,60,1,1,13,13,12.0,0.0,24.0
2,3,5,5,60,1,1,13,13,0.0,12.0,36.0
2,4,5,5,60,1,1,13,13,0.0,12.0,48.0
2,5,5,5,60,1,1,13,13,0.0,12.0,60.0
3,1,5,5,60,1,1,13,13,12.0,0.0,36.0
3,2,5,5,60,1,1,13,13,12.0,0.0,36.0
3,4,5,5,60,1,1,13,13,0.0,12.0,48.0
3,5,5,5,60,1,1,13,13,0.0,12.0,60.0
4,1,5,5,60,1,1,13,13,12.0,0.0,48.0
4,2,5,5,60,1,1,13,13,12.0,0.0,48.0
4,3,5,5,60,1,1,13,13,12.0,0.0,48.0
4,5,5,5,60,1,1,13,13,0.0,12.0,60.0
5,1,5,5,60,1,1,13,13,12.0,0.0,60.0
5,2,5,5,60,1,1,13,13,12.0,0.0,60.0
5,3,5,5,60,1,1,13,13,12.0,0.0,60.0
5,4,5,5,60,1,1,13,13,12.0,0.0,60.0
1,2,1,1,30,5,5,13,13,0.0,30.0,60.0
1,3,1,1,30,5,5,13,13,0.0,30.0,90.0
1,4,1,1,30,5,5,13,13,0.0,30.0,120.0
1,5,1,1,30,5,5,13,13,0.0,30.0,150.0
2,1,1,1,30,5,5,13,13,30.0,0.0,60.0
2,3,1,1,30,5,5,13,13,0.0,30.0,90.0
2,4,1,1,30,5,5,13,13,0.0,30.0,120.0
2,5,1,1,30,5,5,13,13,0.0,30.0,150.0
3,1,1,1,30,5,5,13,13,30.0,0.0,90.0
3,2,1,1,30,5,5,13,13,30.0,0.0,90.0
3,4,1,1,30,5,5,13,13,0.0,30.0,120.0
3,5,1,1,30,5,5,13,13,0.0,30.0,150.0
4,1,1,1,30,5,5,13,13,30.0,0.0,120.0
4,2,1,1,30,5,5,13,13,30.0,0.0,120.0
4,3,1,1,30,5,5,13,13,30.0,0.0,120.0
4,5,1,1,30,5,5,13,13,0.0,30.0,150.0
5,1,1,1,30,5,5,13,13,30.0,0.0,150.0
5,2,1,1,30,5,5,13,13,30.0,0.0,150.0
5,3,1,1,30,5,5,13,13,30.0,0.0,150.0
5,4,1,1,30,5,5,13,13,30.0,0.0,150.0
1,2,1,1,35,5,5,13,13,0.0,35.0,70.0
1,3,1,1,35,5,5,13,13,0.0,35.0,105.0
1,4,1,1,35,5,5,13,13,0.0,35.0,140.0
1,5,1,1,35,5,5,13,13,0.0,35.0,175.0
2,1,1,1,35,5,5,13,13,35.0,0.0,70.0
2,3,1,1,35,5,5,13,13,0.0,35.0,105.0
2,4,1,1,35,5,5,13,13,0.0,35.0,140.0
2,5,1,1,35,5,5,13,13,0.0,35.0,175.0
3,1,1,1,35,5,5,13,13,35.0,0.0,105.0
3,2,1,1,35,5,5,13,13,35.0,0.0,105.0
3,4,1,1,35,5,5,13,13,0.0,35.0,140.0
3,5,1,1,35,5,5,13,13,0.0,35.0,175.0
4,1,1,1,35,5,5,13,13,35.0,0.0,140.0
4,2,1,1,35,5,5,13,13,35.0,0.0,140.0
4,3,1,1,35,5,5,13,13,35.0,0.0,140.0
4,5,1,1,35,5,5,13,13,0.0,35.0,175.0
5,1,1,1,35,5,5,13,13,35.0,0.0,175.0
5,2,1,1,35,5,5,13,13,35.0,0.0,175.0
5,3,1,1,35,5,5,13,13,35.0,0.0,175.0
5,4,1,1,35,5,5,13,13,35.0,0.0,175.0
1,2,1,1,40,5,5,13,13,0.0,40.0,80.0
1,3,1,1,40,5,5,13,13,0.0,40.0,120.0
1,4,1,1,40,5,5,13,13,0.0,40.0,160.0
1,5,1,1,40,5,5,13,13,0.0,40.0,200.0
2,1,1,1,40,5,5,13,13,40.0,0.0,80.0
2,3,1,1,40,5,5,13,13,0.0,40.0,120.0
2,4,1,1,40,5,5,13,13,0.0,40.0,160.0
2,5,1,1,40,5,5,13,13,0.0,40.0,200.0
3,1,1,1,40,5,5,13,13,40.0,0.0,120.0
3,2,1,1,40,5,5,13,13,40.0,0.0,120.0
3,4,1,1,40,5,5,13,13,0.0,40.0,160.0
3,5,1,1,40,5,5,13,13,0.0,40.0,200.0
4,1,1,1,40,5,5,13,13,40.0,0.0,160.0
4,2,1,1,40,5,5,13,13,40.0,0.0,160.0
4,3,1,1,40,5,5,13,13,40.0,0.0,160.0
4,5,1,1,40,5,5,13,13,0.0,40.0,200.0
