a,b,c,x,f
10,3,33,3.3333333333333335,35.03972804325936
15,7,26,2.142857142857143,22.43210078070345
6,3,-17,2.0,-18.841116916640328
6,5,48,1.2,43.09392934076373
2,5,-48,0.4,-51.83258146374831
10,3,-37,3.3333333333333335,-34.96027195674064
7,8,-43,0.875,-50.934719748371656
17,5,40,3.4,43.804182337575966
16,6,-9,2.6666666666666665,-9.306731951812381
17,7,-23,2.4285714285714284,-24.915845684984653
4,3,22,1.3333333333333333,19.150728289807123
10,6,-41,1.6666666666666667,-45.89174376234009
12,1,24,12.0,41.818879797456006
14,1,-36,14.0,-13.053197385386383
8,1,22,8.0,30.635532333438686
19,4,-43,4.75,-32.39525225711555
24,6,-2,4.0,7.271064666877372
16,7,-9,2.2857142857142856,-11.773142829048513
8,3,8,2.6666666666666665,7.8466340240938095
7,8,-14,0.875,-21.93471974837166
15,1,3,15.0,28.62075301653315
13,1,-23,13.0,-2.655658353000021
6,8,41,0.75,33.27390756528931
16,2,-37,8.0,-19.728935333122628
1,4,33,0.25,30.61370563888011
13,7,-50,1.8571428571428572,-54.9524902907191
14,4,46,3.5,49.53868155893515
1,2,24,0.5,22.306852819440053
16,5,14,3.2,16.610412956890894
10,2,7,5.0,13.094379124341003
23,3,27,7.666666666666667,50.848284327003924
10,4,9,2.5,8.162907318741551
8,5,40,1.6,35.760029033965886
23,3,5,7.666666666666667,28.848284327003924
13,6,-41,2.1666666666666665,-43.94853145296474
6,7,26,0.8571428571428571,19.07509592103645
11,5,-28,2.2,-30.326969035993027
20,2,38,10.0,64.05170185988092
11,4,-20,2.75,-19.87238997153672
11,2,10,5.5,17.752229014622678
7,1,-9,7.0,-2.3786289566128076
1,8,-21,0.125,-24.079441541679834
1,1,26,1.0,25.0
17,4,22,4.25,29.59762270991753
10,3,9,3.3333333333333335,11.03972804325936
9,7,3,1.2857142857142858,-3.7381701454718446
9,8,-40,1.125,-47.93995267909255
11,5,-45,2.2,-47.32696903599303
1,5,-15,0.2,-17.6094379124341
6,1,6,6.0,10.75055681536833
6,3,-10,2.0,-11.841116916640328
6,3,19,2.0,17.158883083359672
9,4,7,2.25,5.298371945946959
17,5,36,3.4,39.804182337575966
16,7,12,2.2857142857142856,9.226857170951487
8,6,14,1.3333333333333333,8.301456579614246
23,1,-36,23.0,13.116366966370435
9,1,27,9.0,37.775021196025975
23,2,32,11.5,65.17398181349171
18,2,-49,9.0,-27.44995760794805
22,3,-13,7.333333333333333,8.833463623184535
22,4,22,5.5,37.504458029245356
21,7,17,3.0,19.070858062030304
16,1,-36,16.0,-7.638580444163502
13,3,15,4.333333333333333,21.06238189431455
24,8,5,3.0,7.366694928034633
10,4,3,2.5,2.162907318741551
7,8,-33,0.875,-40.934719748371656
5,1,28,5.0,31.0471895621705
14,1,-14,14.0,8.946802614613617
22,2,-33,11.0,-2.246303998435849
7,8,-13,0.875,-20.93471974837166
24,6,-20,4.0,-10.728935333122628
18,3,-27,6.0,-12.748329553895012
21,1,-44,21.0,-1.065028807808119
3,4,-50,0.75,-53.86304621735534
17,5,-28,3.4,-24.195817662424034
6,1,-50,6.0,-45.24944318463167
3,1,-46,3.0,-45.70416313399567
21,4,-15,5.25,-1.177210391325822
14,4,-8,3.5,-4.461318441064847
13,3,50,4.333333333333333,56.062381894314555
12,1,-3,12.0,14.818879797456006
11,7,44,1.5714285714285714,37.97183636117363
14,8,40,1.75,33.83462103109592
13,6,43,2.1666666666666665,40.05146854703526
13,6,-49,2.1666666666666665,-51.94853145296474
2,1,34,2.0,33.38629436111989
1,4,-33,0.25,-35.386294361119894
2,1,-13,2.0,-13.61370563888011
19,3,-48,6.333333333333333,-31.92929288053172
22,6,20,3.6666666666666665,26.58422565086574
6,6,-1,1.0,-7.0
19,2,-19,9.5,4.7745441735234095
11,3,-14,3.6666666666666665,-10.70788717456713
9,3,-34,3.0,-33.11248940198701
22,4,-24,5.5,-8.495541970754644
1,4,46,0.25,43.613705638880106
5,7,33,0.7142857142857143,26.317638816893936
17,2,-15,8.5,4.381124779436604
21,6,5,3.5,10.30802233840273
18,4,47,4.5,56.073393141972936
13,1,14,13.0,34.34434164699998
2,6,-37,0.3333333333333333,-41.19722457733622
22,4,8,5.5,23.504458029245356
13,1,-32,13.0,-11.655658353000021
8,6,48,1.3333333333333333,42.301456579614246
9,6,-50,1.5,-55.35081402702652
1,1,19,1.0,18.0
9,2,-12,4.5,-7.463303429013532
19,1,5,19.0,41.94434060416236
7,3,-9,2.3333333333333335,-10.068914977289573
9,5,4,1.8,0.2900799841190711
11,5,-8,2.2,-10.326969035993027
5,8,36,0.625,28.649981853771322
9,7,16,1.2857142857142858,9.261829854528155
22,6,41,3.6666666666666665,47.58422565086574
10,7,29,1.4285714285714286,22.566749439387323
6,4,-48,1.5,-51.56720935135101
4,8,18,0.5,11.227411277760218
7,8,-46,0.875,-53.934719748371656
8,3,-23,2.6666666666666665,-23.15336597590619
5,7,-39,0.7142857142857143,-45.68236118310607
24,2,-12,12.0,23.637759594912012
5,2,7,2.5,6.5814536593707755
17,7,32,2.4285714285714284,30.084154315015347
12,8,-34,1.5,-41.13441870270203
16,6,-23,2.6666666666666665,-23.30673195181238
10,3,20,3.3333333333333335,22.03972804325936
5,1,39,5.0,42.0471895621705
10,6,-1,1.6666666666666667,-5.891743762340093
13,8,-25,1.625,-31.68839839483789
21,2,14,10.5,42.37888040043303
23,7,33,3.2857142857142856,37.360433538098235
21,8,8,2.625,7.266698816915326
18,8,35,2.25,31.59674389189392
21,4,47,5.25,60.82278960867418
9,5,-35,1.8,-38.709920015880925
22,3,45,7.333333333333333,66.83346362318454
12,1,50,12.0,67.818879797456
22,1,46,22.0,92.00293397388296
10,5,-4,2.0,-7.068528194400547
22,8,-49,2.75,-48.74477994307344
8,6,-2,1.3333333333333333,-7.698543420385754
7,6,30,1.1666666666666667,24.07905475879081
6,4,-48,1.5,-51.56720935135101
2,1,-35,2.0,-35.61370563888011
24,4,38,6.0,57.00222726147332
14,5,-21,2.8,-20.585328159463785
11,6,-17,1.8333333333333333,-21.33250616072653
18,7,-33,2.5714285714285716,-33.999691040864676
14,1,-18,14.0,4.946802614613617
19,5,16,3.8,22.36502026791446
11,5,39,2.2,36.67303096400697
7,3,17,2.3333333333333335,15.931085022710427
5,8,13,0.625,5.6499818537713224
7,4,42,1.75,38.91731051554796
24,3,-41,8.0,-15.093402999683946
1,1,-7,1.0,-8.0
19,1,35,19.0,71.94434060416236
3,7,-9,0.42857142857142855,-14.541893581161611
14,8,-14,1.75,-20.165378968904083
7,4,-4,1.75,-7.082689484452041
18,3,39,6.0,53.25167044610499
11,6,-1,1.8333333333333333,-5.332506160726529
18,1,-19,18.0,15.026691642130963
2,3,-37,0.6666666666666666,-39.81093021621633
22,4,-18,5.5,-2.495541970754644
15,7,-23,2.142857142857143,-26.56789921929655
3,5,6,0.6,1.4675231287020276
18,7,15,2.5714285714285716,14.000308959135328
5,4,46,1.25,42.11571775657105
13,6,-33,2.1666666666666665,-35.94853145296474
19,1,-15,19.0,21.944340604162363
8,7,-20,1.1428571428571428,-26.931748859003818
13,6,4,2.1666666666666665,1.0514685470352614
1,6,-8,0.16666666666666666,-10.791759469228055
18,4,16,4.5,25.073393141972936
11,1,5,11.0,20.376848000782076
16,8,36,2.0,31.090354888959126
11,7,-3,1.5714285714285714,-9.02816363882637
18,4,40,4.5,49.073393141972936
22,2,36,11.0,66.75369600156415
22,7,-21,3.142857142857143,-17.807089305333943
5,2,-23,2.5,-23.418546340629224
15,2,-12,7.5,3.2235453081339713
20,7,-21,2.857142857142857,-20.003557510026447
8,6,-19,1.3333333333333333,-24.698543420385754
22,1,-9,22.0,37.00293397388296
21,3,-27,7.0,-7.135886869838423
18,1,43,18.0,77.02669164213097
15,3,-37,5.0,-27.858431313488495
21,5,-48,4.2,-38.86322496892422
20,5,-15,4.0,-7.274112777602188
12,8,1,1.5,-6.134418702702027
22,4,-4,5.5,11.504458029245356
12,3,-11,4.0,-6.364467666561314
18,2,39,9.0,60.55004239205195
1,5,47,0.2,44.3905620875659
1,7,13,0.14285714285714285,10.054089850944687
22,6,-39,3.6666666666666665,-32.41577434913426
1,7,-32,0.14285714285714285,-34.945910149055315
8,4,-9,2.0,-11.454822555520437
15,1,47,15.0,72.62075301653314
8,7,50,1.1428571428571428,43.06825114099618
7,6,-26,1.1666666666666667,-31.92094524120919
5,1,-33,5.0,-29.9528104378295
17,8,-40,2.125,-44.185879359601536
3,4,-14,0.75,-17.863046217355343
17,6,7,2.8333333333333335,7.70471587207874
13,1,-49,13.0,-28.65565835300002
9,1,-46,9.0,-35.224978803974025
11,6,13,1.8333333333333333,8.66749383927347
21,1,22,21.0,64.93497119219188
9,1,6,9.0,16.775021196025975
2,4,30,0.5,26.61370563888011
23,1,24,23.0,73.11636696637044
5,4,4,1.25,0.11571775657104855
16,4,-50,4.0,-43.81929022208175
15,4,31,3.75,35.82633759973479
1,2,-22,0.5,-23.693147180559947
2,5,-41,0.4,-44.83258146374831
19,7,-50,2.7142857142857144,-50.02795222788858
3,4,2,0.75,-1.8630462173553428
23,8,28,2.875,29.289211507734215
15,4,-32,3.75,-27.173662400265208
20,1,-29,20.0,10.914645471079815
16,8,9,2.0,4.090354888959125
22,2,35,11.0,65.75369600156415
17,2,-9,8.5,10.381124779436604
6,8,4,0.75,-3.7260924347106856
10,2,-26,5.0,-19.905620875658997
8,5,11,1.6,6.7600290339658855
10,3,39,3.3333333333333335,41.03972804325936
7,8,-11,0.875,-18.93471974837166
24,5,5,4.8,18.646782029932282
20,7,7,2.857142857142857,7.996442489973553
21,3,-7,7.0,12.864113130161577
8,2,2,4.0,5.090354888959125
7,5,-13,1.4,-17.64469434365151
5,3,42,1.6666666666666667,39.55412811882995
24,7,34,3.4285714285714284,39.57144835102318
14,5,11,2.8,11.414671840536213
6,7,48,0.8571428571428571,41.07509592103645
13,7,16,1.8571428571428572,11.047509709280906
9,2,-41,4.5,-36.463303429013536
23,8,-5,2.875,-3.7107884922657846
7,6,32,1.1666666666666667,26.07905475879081
16,1,-40,16.0,-11.638580444163502
19,7,13,2.7142857142857144,12.972047772111416
22,3,1,7.333333333333333,22.833463623184535
21,6,-11,3.5,-5.691977661597271
23,8,-33,2.875,-31.710788492265785
9,3,-9,3.0,-8.112489401987013
6,8,31,0.75,23.273907565289313
11,3,44,3.6666666666666665,47.292112825432866
13,7,-1,1.8571428571428572,-5.952490290719094
18,2,37,9.0,58.55004239205195
2,7,-41,0.2857142857142857,-45.505525936990736
22,7,-39,3.142857142857143,-35.807089305333946
22,6,9,3.6666666666666665,15.58422565086574
8,2,18,4.0,21.090354888959126
3,3,24,1.0,21.0
6,4,20,1.5,16.432790648648986
23,7,19,3.2857142857142856,23.36043353809824
19,5,-12,3.8,-5.63497973208554
9,4,28,2.25,26.29837194594696
10,6,15,1.6666666666666667,10.108256237659907
21,3,-15,7.0,4.864113130161577
4,4,-17,1.0,-21.0
10,1,-47,10.0,-33.97414907005954
20,8,-17,2.5,-18.674185362516898
9,2,-23,4.5,-18.463303429013532
20,6,11,3.3333333333333335,15.079456086518721
3,5,14,0.6,9.467523128702027
24,1,14,24.0,66.2732919283507
11,2,14,5.5,21.752229014622678
23,1,-29,23.0,20.116366966370435
23,1,34,23.0,83.11636696637044
1,5,9,0.2,6.3905620875658995
6,2,25,3.0,25.59167373200866
12,6,-50,2.0,-53.682233833280655
9,4,-8,2.25,-9.70162805405304
10,1,6,10.0,19.02585092994046
6,5,46,1.2,41.09392934076373
17,6,10,2.8333333333333335,10.70471587207874
3,1,-32,3.0,-31.70416313399567
1,5,-17,0.2,-19.6094379124341
19,6,33,3.1666666666666665,35.90091068882932
4,6,41,0.6666666666666666,35.378139567567345
14,3,-50,4.666666666666667,-42.433769426739914
